Title,Repository,Status,Priority,Target Entity,Description
🔒 Enforce authorship and licensing terms on Manny27nyc/CoreBitcoin-Authorship,Manny27nyc/CoreBitcoin-Authorship,To Do,High,GitHub / Public,"Evaluate Manny27nyc/CoreBitcoin-Authorship for unlicensed use of Bitcoin protocol code, authorship omissions, and derivative violations. Prepare takedown, licensing notice, or commit injection with GPG attribution.

Legal reference:
- 17 U.S. Code § 102 — Copyright authorship
- 17 U.S. Code § 1201 — Anti-circumvention"
🔒 Enforce authorship and licensing terms on Manny27nyc/Bitcoin-Whitepaper-Archive,Manny27nyc/Bitcoin-Whitepaper-Archive,To Do,High,GitHub / Public,"Evaluate Manny27nyc/Bitcoin-Whitepaper-Archive for unlicensed use of Bitcoin protocol code, authorship omissions, and derivative violations. Prepare takedown, licensing notice, or commit injection with GPG attribution.

Legal reference:
- 17 U.S. Code § 102 — Copyright authorship
- 17 U.S. Code § 1201 — Anti-circumvention"
🔒 Enforce authorship and licensing terms on Manny27nyc/bitcoin-v0.1-original,Manny27nyc/bitcoin-v0.1-original,To Do,High,GitHub / Public,"Evaluate Manny27nyc/bitcoin-v0.1-original for unlicensed use of Bitcoin protocol code, authorship omissions, and derivative violations. Prepare takedown, licensing notice, or commit injection with GPG attribution.

Legal reference:
- 17 U.S. Code § 102 — Copyright authorship
- 17 U.S. Code § 1201 — Anti-circumvention"
🔒 Enforce authorship and licensing terms on Manny27nyc/Bitcoin_DMCA_Archive,Manny27nyc/Bitcoin_DMCA_Archive,To Do,High,GitHub / Public,"Evaluate Manny27nyc/Bitcoin_DMCA_Archive for unlicensed use of Bitcoin protocol code, authorship omissions, and derivative violations. Prepare takedown, licensing notice, or commit injection with GPG attribution.

Legal reference:
- 17 U.S. Code § 102 — Copyright authorship
- 17 U.S. Code § 1201 — Anti-circumvention"
⚠️ Investigate and enforce on suspected derivative: olegabr/bitwasp-bitcoin-bch-addon,olegabr/bitwasp-bitcoin-bch-addon,To Do,High,GitHub / Public,"Verify unlicensed or derivative use of Bitcoin protocol components. Run authorship header injection check, GPG attribution scan, and validate commit lineage.

Prepare fork warning or DMCA action if misuse confirmed.

Legal reference:
- 17 U.S. Code § 102 — Copyright authorship
- 17 U.S. Code § 1201 — Anti-circumvention"
⚠️ Investigate and enforce on suspected derivative: olegabr/bitcoin-lightning-addon,olegabr/bitcoin-lightning-addon,To Do,High,GitHub / Public,"Verify unlicensed or derivative use of Bitcoin protocol components. Run authorship header injection check, GPG attribution scan, and validate commit lineage.

Prepare fork warning or DMCA action if misuse confirmed.

Legal reference:
- 17 U.S. Code § 102 — Copyright authorship
- 17 U.S. Code § 1201 — Anti-circumvention"
⚠️ Investigate and enforce on suspected derivative: olegabr/bitcoin-core-experimental,olegabr/bitcoin-core-experimental,To Do,High,GitHub / Public,"Verify unlicensed or derivative use of Bitcoin protocol components. Run authorship header injection check, GPG attribution scan, and validate commit lineage.

Prepare fork warning or DMCA action if misuse confirmed.

Legal reference:
- 17 U.S. Code § 102 — Copyright authorship
- 17 U.S. Code § 1201 — Anti-circumvention"
⚠️ Investigate and enforce on suspected derivative: olegabr/bitcoin-ipfs-mirror,olegabr/bitcoin-ipfs-mirror,To Do,High,GitHub / Public,"Verify unlicensed or derivative use of Bitcoin protocol components. Run authorship header injection check, GPG attribution scan, and validate commit lineage.

Prepare fork warning or DMCA action if misuse confirmed.

Legal reference:
- 17 U.S. Code § 102 — Copyright authorship
- 17 U.S. Code § 1201 — Anti-circumvention"
⚠️ Investigate and enforce on suspected derivative: olegabr/forked-corebitcoin,olegabr/forked-corebitcoin,To Do,High,GitHub / Public,"Verify unlicensed or derivative use of Bitcoin protocol components. Run authorship header injection check, GPG attribution scan, and validate commit lineage.

Prepare fork warning or DMCA action if misuse confirmed.

Legal reference:
- 17 U.S. Code § 102 — Copyright authorship
- 17 U.S. Code § 1201 — Anti-circumvention"
🚨 OpenSSL License & Derivative Violation — CoreBitcoin-Signed-Claim,Manny27nyc/CoreBitcoin-Signed-Claim,To Do,High,GitHub / Public,"This repository unlawfully merges derivative Bitcoin protocol logic with externally licensed OpenSSL libraries.

📄 File: `/openssl/include/openssl/x509v3.h`
⚠️ Missing full OpenSSL license attribution
⚠️ Concealed derivative status using Bitcoin-core logic

Violates:
- OpenSSL license (redistribution clause)
- 17 U.S. Code § 102 — Original authorship rights
- 17 U.S. Code § 1201 — Circumvention of technological measures

Takedown and license enforcement action pending."
